index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
33,/U/m/m///////./////////./,/I/ /t/h/i/n/k/ /I/ /a/m/ /g/o/i/n/g/ /t/o/ /c/a/t/c/h/ /a/ /c/o/l/d/./,/(/L/o/o/k/i/n/g/ /o/u/t/ /t/h/e/ /w/i/n/d/o/w/ /a/n/d/ /s/i/g/h/i/n/g/./)/,/A/m/ /I///////.///////.///////./////// /w/r/o/n/g/?/ /I/ /d/o/n/’/t/ /k/n/o/w/./,/W/i/l/l/ /I/ /h/a/v/e/ /a/ /h/a/p/p/y/ /d/a/y/ /l/i/k/e/ /p/e/o/p/l/e/ /o/n/ /t/h/e/ /s/c/r/e/e/n/?/,/I/t/ /i/s/ /a/ /g/o/o/d/ /d/a/y/ /t/o/ /m/e/d/i/t/a/t/e/ ///////.////////.////////C/l/o/s/e/ /y/o/u/r/ /e/y/e/s/ /a/n/d/ /m/e/d/i/t/a/t/e/./,/W/h/e/n/ /y/o/u/ /g/o/ /o/u/t/ /f/o/r/ /a/ /w/a/l/k/ /a/t/ /n/i/g/h/t/ /e/v/e/n/ /i/n/ /t/h/e/ /s/a/m/e/ /p/l/a/c/e/ /i/t/ /i/s/ /d/i/f/f/e/r/e/n/t/ /f/r/o/m/ /t/h/e/ /d/a/y/./,/I/t/ /i/s/ /h/a/r/d/ /t/o/ /s/p/e/a/k/ /w/i/t/h/ /t/h/o/u/g/h/t/s/./ ///////A/n/d/ /i/t/ /w/i/l/l/ /b/e/ /c/o/n/t/i/n/u/e/d/./,/I/t/ /i/s/ /a/l/w/a/y/s/ /t/i/r/e/s/o/m/e/ /t/o/ /c/l/e/a/n/ /u/p/ /k/i/t/c/h/e/n/ /a/f/t/e/r/ /c/o/o/k/i/n/g/./ ///////P/e/r/s/o/n/a/l/i/t/y/ /c/a/n/'/t/ /f/i/x/ /t/h/i/s///////.///////./,I/ /o/p/e/n/ /a/n/ /u/m/b/r/e/l/l/a/ /a/n/d/ /d/r/y/ /i/t/ /w/h/e/n/ /y/o/u/ /a/r/e/ /n/o/t/ /a/r/o/u/n/d/./ ///////S/o/ /d/o/n/'/t/ /w/o/r/r/y/./
34,/I/ /s/e/e/././,/(/D/r/a/w/i/n/g/ /a/ /c/i/r/c/l/e/ /w/i/t/h/ /y/o/u/r/ /f/i/n/g/e/r/s/./)/,/W/i/l/l/ /t/h/e/ /d/a/y/ /c/o/m/e/s/ /w/h/e/n/ /t/h/e/ /w/a/l/l/p/a/p/e/r/ /g/e/t/s/ /c/l/e/a/n/?/,/(/Y/o/u/r/ /e/y/e/s/ /l/o/o/k/ /a/ /l/i/t/t/l/e/ /p/u/f/f/y/./ /Y/o/u/ /l/o/o/k/ /h/a/r/d/./)/,"/I/t/ /i/s/ /a/ /h/a/s/s/l/e/ /f/o/r/ /m/e/ /t/o/ /g/o/ /t/o/ /t/h/e/ /m/o/v/i/e/s/,/ /a/n/d/ /i/t/ /c/o/s/t/s/ /m/o/n/e/y/./ /I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/./././",/I/ /d/o/ /n/o/t/ /n/e/e/d/ /s/u/n/s/c/r/e/e/n/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/ /b/u/t/ /I/'/l/l/ /n/e/e/d/ /i/t/ /s/o/m/e/d/a/y/./,/I/ /t/h/i/n/k/ /t/h/e/ /f/r/e/q/u/e/n/c/y/ /o/f/ /h/a/v/i/n/g/ /h/a/p/p/y/ /d/r/e/a/m/s/ /i/s/ /i/n/c/r/e/a/s/i/n/g/./ ////////I/s/ /t/h/a/t/ /a/ /g/o/o/d/ /s/i/g/n/?/,/C/h/i/l/d/r/e/n/ /a/l/w/a/y/s/ /l/o/o/k/ /h/a/p/p/y/./ ///////I/ /a/m/ /j/e/a/l/o/u/s/./,/T/h/e/ /s/u/n/ /s/h/i/n/i/n/g/ /a/b/o/v/e/ /t/h/e/ /d/a/r/k/ /c/l/o/u/d/s/ /i/s/ /w/a/i/t/i/n/g/ /f/o/r/ /u/s/./,/I/ /c/a/n/ /n/o/t/ /l/e/a/v/e/ /m/y/ /u/m/b/r/e/l/l/a/ /l/i/k/e/ /t/h/a/t/./ /I/t/ /s/h/o/u/l/d/ /b/e/ /i/n/ /t/h/e/ /u/m/b/r/e/l/l/a/ /s/t/a/n/d/./
35,/W/h/y/ /a/r/e/ /y/o/u/ /l/o/o/k/i/n/g/ /a/t/ /m/e/././?/,/(/I/ /l/o/o/k/e/d/ /a/t/ /y/o/u/ /b/u/t/ /y/o/u/ /l/o/o/k/e/d/ /a/w/a/y/./)/,/I/ /t/h/i/n/k/ /i/t/'/s/ /a/ /g/o/o/d/ /i/d/e/a/ /t/o/ /t/a/k/e/ /a/ /q/u/i/e/t/ /r/e/s/t/ /i/n/ /a/ /q/u/i/e/t/ /p/l/a/c/e/./,/I/ /m/o/v/e/d/ /t/o/ /a/ /q/u/i/e/t/ /p/l/a/c/e/ /o/n/ /p/u/r/p/o/s/e/./ /I/ /w/a/n/t/ /t/o/ /b/e/ /c/o/m/f/o/r/t/a/b/l/e/./,/I/ /f/e/e/l/ /b/e/t/t/e/r/ /w/h/e/n/ /I/ /l/i/s/t/e/n/ /t/o/ /m/u/s/i/c/./ ////////Y/o/u/ /s/h/o/u/l/d/ /t/r/y/ /i/t/./,/L/i/k/e/ /t/h/e/ /p/e/o/p/l/e/ /o/n/ /T/V/ /h/a/p/p/i/n/e/s/s/ /w/i/l/l/ /c/o/m/e/ /t/o/ /m/e/ /s/o/m/e/d/a/y/.///////////////.,/I/ /u/s/e/d/ /t/o/ /h/a/t/e/ /d/o/i/n/g/ /a/n/y/t/h/i/n/g/./,/I/ /l/i/k/e/ /t/h/e/ /b/l/a/n/k/e/t/ /b/e/c/a/u/s/e/ /i/t/ /i/s/ /a/l/w/a/y/s/ /s/o/f/t/./ /I/t/ /i/s/ /a/s/ /c/o/z/y/ /a/s/ /a/ /h/o/u/s/e/./,/I/ /h/e/a/r/d/ /a/ /b/i/r/d/ /f/l/y/i/n/g/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./ ///////I/s/ /i/t/ /j/u/s/t/ /m/e/ /o/r/ /i/s/ /i/t/ /r/e/a/l/?/,/G/r/o/w/i/n/g/ /p/l/a/n/t/s/ /i/s/ /p/a/t/i/e/n/c/e/ /a/n/d/ /s/i/n/c/e/r/i/t/y/./ ///////I/ /b/e/l/i/e/v/e/ /i/t/ /w/i/l/l/ /b/l/o/o/m/ /s/o/m/e/d/a/y/./
36,/I/'/m/ /s/o/ /t/i/r/e/d/././,/I/ /t/h/i/n/k/ /t/i/m/e/ /i/s/ /s/o/ /d/r/a/g/g/i/n/g/./,/W/o/u/l/d/ /l/i/s/t/e/n/i/n/g/ /t/o/ /c/a/l/m/ /m/u/s/i/c/ /m/a/k/e/ /m/e/ /f/e/e/l/ /b/e/t/t/e/r/?/,/I/ /w/o/n/d/e/r/ /w/h/a/t/ /p/e/o/p/l/e/ /a/r/e/ /d/o/i/n/g/ /a/n/d/ /i/f/ /t/h/e/r/e/ /a/r/e/ /p/e/o/p/l/e/ /w/h/o/ /l/i/v/e/ /l/i/k/e/ /m/e/./,/P/e/o/p/l/e/ /s/a/y/ /i/t/ /i/s/ /w/r/o/n/g/ /b/u/t/ /t/h/e/ /a/n/s/w/e/r/ /i/s/ /n/o/t/ /f/i/x/e/d/./,/I/ /r/e/a/l/i/z/e/d/ /t/h/a/t/ /i/t/ /i/s/ /n/o/t/ /g/o/o/d/ /t/o/ /w/o/r/r/y/ /t/o/o/ /m/u/c/h/./,/I/ /b/e/l/i/e/v/e/ /t/h/e/ /d/a/y/ /w/i/l/l/ /c/o/m/e/ /w/h/e/n/ /t/h/e/ /d/a/r/k/ /c/l/o/u/d/s/ /o/f/ /m/y/ /l/i/f/e/ /c/l/e/a/r/ /u/p/./,/I/ /t/h/i/n/k/ /I/ /f/e/e/l/ /g/o/o/d/ /t/o/ /e/x/p/e/r/i/e/n/c/e/ /v/a/r/i/o/u/s/ /t/h/i/n/g/s/ /o/u/t/s/i/d/e/./,/L/a/s/t/ /t/i/m/e/ /I/ /c/h/o/k/e/d/ /w/h/i/l/e/ /d/r/i/n/k/i/n/g/ /w/a/t/e/r/ /i/n/ /a/ /h/u/r/r/y/ /.///////.///////I/ /s/h/o/u/l/d/ /b/e/ /c/a/r/e/f/u/l/./,/T/h/e/r/e/ /w/a/s/ /a/ /t/i/m/e/ /w/h/e/n/ /f/o/o/d/ /g/o/t/ /a/l/l/ /o/v/e/r/ /t/h/e/ /k/i/t/c/h/e/n/ /b/e/c/a/u/s/e/ /I/ /o/p/e/n/e/d/ /c/a/n/n/e/d/ /f/o/o/d/ /w/r/o/n/g/./ ///////.///////.///////I/ /h/a/v/e/ /t/o/ /b/e/ /c/a/r/e/f/u/l/./
37,/I/'/m/ /s/l/e/e/p/y/././,/(/Y/o/u/ /d/o/ /n/o/t/ /s/e/e/m/ /t/o/ /b/e/ /i/n/t/e/r/e/s/t/e/d/./)/,/I/ /l/i/v/e/ /l/i/k/e/ /t/h/i/s/ /e/v/e/r/y/ /d/a/y/ /e/v/e/n/ /i/f/ /I/ /d/o/n/'/t/ /k/n/o/w/ /h/o/w/ /y/o/u/ /l/i/v/e/./,/S/o/m/e/t/i/m/e/s/ /w/h/e/n/ /I/ /w/a/t/c/h/ /T/V/ /t/h/e/ /p/e/o/p/l/e/ /o/n/ /T/V/ /l/o/o/k/ /h/a/p/p/y/./,/I/f/ /I/ /t/e/l/l/ /s/o/m/e/o/n/e/ /w/i/l/l/ /i/t/ /m/a/k/e/ /m/e/ /f/e/e/l/ /a/ /l/i/t/t/l/e/ /m/o/r/e/ /c/o/m/f/o/r/t/a/b/l/e/?/,/W/h/a/t/e/v/e/r/ /t/h/e/ /p/u/r/p/o/s/e/ /o/f/ /g/o/i/n/g/ /t/o/ /t/h/e/ /h/o/s/p/i/t/a/l/ ////////I/ /a/m/ /a/l/w/a/y/s/ /a/f/r/a/i/d/ /t/o/ /g/o/./,/T/h/e/r/e/ /a/r/e/ /s/t/i/l/l/ /m/a/n/y/ /b/o/o/k/s/ /t/h/a/t/ /a/r/e/ /d/i/f/f/i/c/u/l/t/ /f/o/r/ /m/e/ /t/o/ /r/e/a/d/./ ////////I/ /a/m/ /g/o/n/n/a/ /h/a/v/e/ /t/o/ /r/e/a/d/ /i/t/ /h/a/r/d/./,/W/h/e/n/ /I/ /s/e/e/ /p/e/o/p/l/e/ /o/n/ /t/h/e/ /s/t/r/e/e/t/s/ /I/ /w/o/n/d/e/r/ /w/h/a/t/ /t/h/e/y/ /t/h/i/n/k/./,/E/a/t/i/n/g/ /c/h/o/c/o/l/a/t/e/ /m/a/k/e/s/ /m/e/ /f/e/e/l/ /g/o/o/d/./ /S/w/e/e/t/n/e/s/s/ /h/e/l/p/s/ /r/e/l/i/e/v/e/ /s/t/r/e/s/s/./,/I/ /w/i/l/l/ /b/e/ /a/l/w/a/y/s/ /c/a/r/e/f/u/l/./ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /p/r/e/p/a/r/e/d/ /f/o/r/ /s/o/m/e/t/h/i/n/g/ /t/o/ /h/a/p/p/e/n/.
38,/I/t/'/s/ /r/a/i/n/i/n/g/ /o/u/t/s/i/d/e/./,/.////////.////////D/o/e/s/ /t/h/i/s/ /m/a/k/e/ /a/n/y/ /d/i/f/f/e/r/e/n/c/e/ /f/o/r/ /m/e/?/,/I/ /d/o/n/'/t/ /m/i/s/s/ /m/y/ /w/a/r/m/ /d/a/y/s/ /b/e/c/a/u/s/e/ /I/ /c/a/n/'/t/ /r/e/m/e/m/b/e/r///////.///////./,/T/h/e/r/e/ /i/s/ /n/o/ /a/ /b/o/i/l/e/r/ /h/e/r/e/ /s/o/ /t/h/e/ /w/a/t/e/r/ /i/s/ /c/o/l/d/./,/W/h/e/n/ /t/h/e/ /d/a/y/ /s/o/m/e/t/h/i/n/g/ /c/h/a/n/g/e/ /c/o/m/e/s/ /s/o/m/e/t/h/i/n/g/ /w/i/l/l/ /c/h/a/n/g/e/ /f/o/r/ /m/e/./,/I/ /n/e/e/d/ /t/o/ /v/e/n/t/i/l/a/t/e/ /i/t/ /f/r/e/q/u/e/n/t/l/y/./ ////////I/ /h/a/v/e/ /a/ /b/a/d/ /t/h/r/o/a/t/./,/(/Y/o/u/ /a/r/e/ /h/e/s/i/t/a/t/i/n/g/ /w/h/e/t/h/e/r/ /t/o/ /d/o/ /s/o/m/e/t/h/i/n/g/ /o/r/ /n/o/t/./)/,/I/t/ /i/s/ /a/ /b/a/s/i/c/ /t/h/i/n/g/ /t/o/ /t/a/l/k/ /t/o/ /e/a/c/h/ /o/t/h/e/r/ /i/n/ /t/h/e/ /e/y/e/ /////b/u/t/ /i/t/ /i/s/ /n/o/t/ /e/a/s/y/./,/W/e/l/l///////.///////.///////./ /I/ /c/a/n/n/o/t/ /r/e/m/e/m/b/e/r/ /w/h/a/t/ /I/ /h/a/d/ /b/e/e/n/ /u/p/ /t/o/./ ///////W/h/a/t/ /d/i/d/ /I/ /d/o/?/,/I/ /f/e/e/l/ /s/t/i/f/f/ /b/e/c/a/u/s/e/ /I/ /a/m/ /s/i/t/t/i/n/g/ /d/o/w/n/ /a/l/l/ /t/h/e/ /t/i/m/e/./ /I/ /a/m/ /g/o/i/n/g/ /t/o/ /g/o/ /f/o/r/ /a/ /w/a/l/k/ /l/a/t/e/r/./
39,/H/m/m///////.////////.//// /W/e/l/l/././,/T/i/m/e/ /g/o/e/s/ /o/n/ /e/v/e/n/ /w/h/i/l/e/ /I/ /a/m/ /d/o/i/n/g/ /t/h/i/s/././,/I/'/m/ /s/a/t/i/s/f/i/e/d/ /t/o/ /l/i/v/e/ /l/i/k/e/ /t/h/i/s/./ ///////////I/ /d/o/n/'/t/ /w/a/n/t/ /a/n/y/t/h/i/n/g/ /m/o/r/e/ /t/h/a/n/./,/I/'/m/ /n/o/t/ /u/s/e/d/ /t/o/ /t/h/e/ /c/o/l/d/ /w/a/t/e/r/ /y/e/t/./,/I/ /s/t/u/b/b/e/d/ /m/y/ /l/i/t/t/l/e/ /t/o/e/ /w/h/i/l/e/ /c/l/i/m/b/i/n/g/ /a/ /l/a/d/d/e/r/./ /././I/t/ /r/e/a/l/l/y/ /h/u/r/t/s/./,/I/ /t/h/i/n/k/ /r/a/i/n/ /i/s/ /n/o/t/ /n/e/c/e/s/s/a/r/i/l/y/ /b/a/d/.,/I/t/ /i/s/ /g/o/o/d/ /t/o/ /g/o/ /o/u/t/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /b/u/y/ /m/o/r/e/ /v/a/r/i/o/u/s/ /t/h/i/n/g/s/./,/I/n/ /t/h/e/ /c/a/r/t/o/o/n/ /I/ /s/a/w/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/ /t/h/e/ /m/a/i/n/ /c/h/a/r/a/c/t/e/r/ /o/v/e/r/c/a/m/e/ /h/a/r/d/s/h/i/p/s/ /a/n/d/ /a/c/h/i/e/v/e/d/ /h/i/s/ /p/u/r/p/o/s/e/./ /////S/o/m/e/d/a/y/ /I/ /w/i/l/l/ /d/o/./,/I/f/ /I/ /f/o/r/c/e/ /m/y/s/e/l/f/ /t/o/ /d/o/ /s/o/m/e/t/h/i/n/g/ /I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /d/o/ /o/n/e/ /d/a/y/ /I/ /w/i/l/l/ /f/e/e/l/ /a/ /r/u/s/h/ /o/f/ /r/e/a/l/l/y/ /h/a/r/d/ /f/e/e/l/i/n/g/s///////.///////./,/I/ /o/n/c/e/ /l/i/s/t/e/n/e/d/ /t/o/ /m/u/s/i/c/ /t/h/a/t/ /w/a/s/ /n/i/c/e/ /w/h/i/l/e/ /w/a/l/k/i/n/g/ /d/o/w/n/ /t/h/e/ /s/t/r/e/e/t/./ ///////I/ /w/o/n/d/e/r/ /w/h/a/t/ /t/h/e/ /t/i/t/l/e/ /i/s/./
40,/M/y/ /h/e/a/d/ /i/s/ /s/t/u/f/f/y/././,/I/s/ /t/h/e/ /b/a/t/t/e/r/y/ /e/n/o/u/g/h/?/,/T/h/e/r/e/ /a/r/e/ /p/e/o/p/l/e/ /w/h/o/ /a/r/e/ /m/o/r/e/ /r/o/u/g/h/ /t/i/m/e/ /t/h/a/n/ /m/e/ /t/h/e/n/ /w/h/a/t/ /w/o/u/l/d/ /b/e/ /d/i/f/f/e/r/e/n/t/ /e/v/e/n/ /i/f/ /I/ /c/o/m/p/l/a/i/n/././?/,/I/ /h/a/v/e/ /n/o/t/ /s/e/e/n/ /a/ /m/o/v/i/e/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/./ ///////I/ /c/a/n/n/o/t/ /r/e/m/e/m/b/e/r/ /w/h/e/n/ /I/ /w/a/t/c/h/e/d/ /i/t//////.///////./,/I/t/ /i/s/ /t/o/o/ /b/a/d/ /i/f/ /I/ /g/o/t/ /a/ /h/o/l/e/ /i/n/ /m/y/ /f/a/v/o/r/i/t/e/ /c/l/o/t/h/e/s/./ /I/ /c/a/n/'/t/ /h/e/l/p/ /i/t////////.////////./,/(/Y/o/u/ /l/o/o/k/e/d/ /u/p/ /a/n/d/ /t/h/e/n/ /d/o/w/n/ /a/g/a/i/n/./)/,/I/ /t/h/i/n/k/ /t/h/e/r/e/ /i/s/ /a/ /b/i/g/ /l/i/m/i/t/ /t/o/ /b/e/i/n/g/ /a/b/l/e/ /t/o/ /d/o/ /i/t/ /o/n/l/y/ /a/t/ /h/o/m/e/./ ////////I/f/ /y/o/u/ /d/o/ /i/t/ /o/u/t/ /t/h/e/r/e/ /i/t/ /w/i/l/l/ /b/e/ /d/o/u/b/l/e/d/./,/I/n/ /p/u/b/l/i/c/ /t/r/a/n/s/p/o/r/t/a/t/i/o/n/ /p/e/o/p/l/e/ /a/r/e/ /a/l/w/a/y/s/ /l/o/o/k/i/n/g/ /a/t/ /s/m/a/l/l/ /s/c/r/e/e/n/s/./,/S/l/e/e/p/ /i/s/ /n/e/c/e/s/s/a/r/y/ /f/o/r/ /p/e/o/p/l/e/ /t/o/ /l/i/v/e/ /i/n/ /o/r/d/e/r/ /t/o/ /g/i/v/e/ /a /b/r/a/i/n/ /a/ /b/r/e/a/k/./,/W/h/e/n/ /I/ /l/i/s/t/e/n/ /t/o/ /a/n/ /e/x/c/i/t/i/n/g/ /s/o/n/g/ /m/y/ /s/h/o/u/l/d/e/r/s/ /g/o/ /u/p/ /a/n/d/ /d/o/w/n/ /w/i/t/h/o/u/t/ /r/e/a/l/i/z/i/n/g/./ ///////I/t/ /i/s/ /t/o/o/ /m/u/c/h/ /t/o/ /e/v/e/n/ /d/a/n/c/e/././
41,/I/ /s/e/e/ /s/o/m/e/t/h/i/n/g/ /o/u/t/ /t/h/e/r/e/./,/S/h/o/u/l/d/ /I/ /d/o/ /s/o/m/e/t/h/i/n/g/././?/,"/P/e/o/p/l/e/ /t/e/l/l/ /m/e/ /t/o/ /g/e/t/ /t/h/r/o/u/g/h/ /i/t/ /e/v/e/n/ /i/f/ /i/t/'/s/ /h/a/r/d/./ ///////I/f/ /i/t/'/s/ /m/y/ /f/a/u/l/t/,/ /I/ /m/u/s/t/ /f/i/x/ /i/t/./ /T/h/e/n/ /e/v/e/r/y/t/h/i/n/g/ /w/o/u/l/d/ /b/e/ /o/k/a/y/.",/W/h/a/t/ /I/ /l/o/s/t/ /i/t/ /b/e/f/o/r/e/ /i/s/ /s/o/m/e/w/h/e/r/e/ /a/r/o/u/n/d/ /h/e/r/e/./,/T/h/e/ /t/o/u/c/h/ /o/f/ /t/h/e/ /f/o/x/t/a/i/l/ /i/s/ /s/o/f/t/./ /I/t/ /i/s/ /k/i/n/d/ /o/f/ /f/u/n/ /t/o/ /p/l/a/y/ /w/i/t/h/ /i/t/./,/W/h/e/n/ /y/o/u/ /g/e/t/ /o/n/ /t/h/e/ /p/l/a/n/e/ ////////y/o/u/ /c/a/n/ /l/o/o/k/ /d/o/w/n/ /a/t/ /t/h/e/ /c/l/o/u/d/s/ /f/r/o/m/ /t/h/e/ /s/k/y/.,/I/ /h/e/a/r/d/ /t/h/e/ /j/u/i/c/e/ /m/a/d/e/ /o/f/ /c/o/c/o/n/u/t/ /f/r/u/i/t/ /i/s/ /s/w/e/e/t/ /s/o/ /I/ /w/a/n/t/ /t/o/ /t/r/y/ /i/t/ /s/o/m/e/t/i/m/e/./,/I/ /w/o/n/d/e/r/ /h/o/w/ /m/a/n/y/ /p/e/o/p/l/e/ /t/h/e/r/e/ /a/r/e/ /i/n/ /t/h/e/ /f/o/r/e/s/t/ /o/f/ /b/u/i/l/d/i/n/g/s/./,/I/t/ /l/o/o/k/s/ /m/o/r/e/ /a/t/m/o/s/p/h/e/r/i/c/ /w/i/t/h/ /c/u/r/t/a/i/n/s/ /i/n/ /t/h/e/ /w/i/n/d/o/w/./ /I/t/ /w/o/u/l/d/ /b/e/ /a/l/s/o/ /g/o/o/d/ /t/o/ /d/e/c/o/r/a/t/e/ /i/t/ /i/n/ /a/ /v/a/r/i/e/t/y/ /o/f/ /w/a/y/s/./,/I/ /o/p/e/n/e/d/ /t/h/e/ /d/i/c/t/i/o/n/a/r/y/ /t/o/ /l/e/a/r/n/ /E/n/g/l/i/s/h/ /b/u/t/ /I/ /c/o/v/e/r/e/d/ /i/t/ /a/g/a/i/n/./ ///////b/e/c/a/u/s/e/ /I/ /d/i/d/ /n/o/t/ /k/n/o/w/ /m/a/n/y/ /w/o/r/d/s/./
42,/W/h/a/t/ /i/s/ /t/h/a/t/ /o/u/t/s/i/d/e/?/,/I/ /o/n/l/y/ /h/a/v/e/ /o/n/e/ /s/h/o/e/s/./,/I/ /h/a/v/e/ /d/o/n/e/ /s/o/m/e/t/h/i/n/g/ /w/r/o/n/g/ /b/u/t/ /I/ /c/a/n/ /s/a/y/ /t/h/a/t/ /I/ /h/a/v/e/ /d/o/n/e/ /n/o/t/h/i/n/g/ /w/r/o/n/g/./,/I/ /c/a/n/n/o/t/ /r/e/m/e/m/b/e/r/ /w/h/e/r/e/ /I/ /l/e/f/t/ /i/t///////.///////./,/I/ /w/a/n/t/ /a/ /c/a/l/m/ /c/o/o/l/ /b/r/e/e/z/e/ /n/o/t/ /a/ /g/u/s/t/ /o/f/ /r/a/i/n/././,/W/h/y/ /d/i/d/ /t/h/e/ /c/l/o/u/d/s/ /i/n/ /t/h/e/ /s/h/o/w/e/r/ /t/u/r/n/ /b/l/a/c/k/?/,/T/h/e/r/e/ /i/s/ /n/o/ /l/a/w/ /t/h/a/t/ /r/a/i/n/ /i/s/ /a/l/w/a/y/s/ /b/a/d/./ /////////I/t/ /i/s/ /a/ /l/i/f/e/-/g/i/v/i/n/g/ /t/h/i/n/g/./,/I/f/ /I/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t/ /o/r/ /f/i/x/ /i/t/ /b/e/f/o/r/e/ /I/ /s/a/y/ /I/ /c/a/n/'/t/ /h/e/l/p/ /i/t/./ /////W/e/l/l/./,/T/h/e/r/e/ /w/a/s/ /s/o/m/e/t/h/i/n/g/ /o/n/ /t/h/e/ /d/e/s/k/ /s/o/ /I/ /l/o/o/k/e/d/ /a/n/d/ /t/h/e/r/e/ /w/a/s/ /t/h/e/ /p/a/p/e/r/ /I/ /t/h/r/e/w/ /a/w/a/y/ /l/a/s/t/ /t/i/m/e/./,/T/h/e/r/e/ /i/s/ /a/l/w/a/y/s/ /a/ /d/i/f/f/e/r/e/n/c/e/ /b/e/t/w/e/e/n/ /h/i/g/h/ /a/n/d/ /l/o/w/./
43,/(/C/o/u/g/h/i/n/g/)/,/I/ /s/o/m/e/t/i/m/e/s/ /e/a/t/ /a/ /m/e/a/l/./,/(/I/ /c/a/n/ /s/e/e/ /b/a/g/s/ /u/n/d/e/r/ /y/o/u/r/ /e/y/e/s/./ ///////Y/o/u/ /l/o/o/k/ /t/i/r/e/d/./)/,/P/e/o/p/l/e/ /t/e/l/l/ /m/e/ /t/o/ /w/a/l/k/ /t/h/e/ /f/l/o/w/e/r/y/ /p/a/t/h/ /o/f/ /l/i/f/e/ /b/u/t/ /i/t/ /c/a/n/n/o/t/ /h/a/p/p/e/n/ /t/o/ /m/e/./,/W/i/l/l/ /t/h/e/ /b/r/i/g/h/t/ /d/a/y/ /s/h/i/n/i/n/g/ /m/y/ /l/i/f/e/ /c/o/m/e/ /s/o/m/e/d/a/y/?/,/W/e/ /d/o/ /b/e/t/t/e/r/ /t/o/ /t/a/k/e/ /a/ /b/r/e/a/k/ /a/n/d/ /c/o/o/l/ /o/u/r/ /h/e/a/d/ /w/h/e/n/ /w/e/ /h/a/v/e/ /a/ /l/o/t/ /o/f/ /w/o/r/k/ /t/o/ /d/o/./,/I/t/ /i/s/ /h/a/r/d/ /t/o/ /d/o/ /s/o/m/e/t/h/i/n/g/ /w/i/t/h/ /c/o/u/r/a/g/e/./,/(/W/e/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /w/i/n/d/o/w/ /t/o/g/e/t/h/e/r/ /q/u/i/e/t/l/y/./ /////O/n/l/y/ /s/i/l/e/n/c/e/ /r/e/m/a/i/n/s/./)/,/I/ /h/e/a/r/ /t/h/e/ /r/a/i/n/ /k/n/o/c/k/i/n/g/ /o/n/ /t/h/e/ /w/i/n/d/o/w/s/./ /I/t/ /f/e/e/l/s/ /l/i/k/e/ /I/ /a/m/ /b/e/i/n/g/ /c/a/l/l/e/d/./,/(/Y/o/u/ /h/a/v/e/ /b/e/e/n/ /c/l/e/n/c/h/i/n/g/ /a/n/d/ /o/p/e/n/i/n/g/ /y/o/u/r/ /f/i/s/t/s/./ /Y/o/u/ /a/r/e/ /r/e/l/e/a/s/i/n/g/ /t/h/e/ /t/e/n/s/i/o/n/ /i/n/ /y/o/u/r/ /f/i/n/g/e/r/s/./)/
